"Date","runname","Dailypassage"
2005-12-14,"Winter.Chinook.Passage.Estimate",1080
2005-12-15,"Winter.Chinook.Passage.Estimate",1246
2005-12-16,"Winter.Chinook.Passage.Estimate",1613
2005-12-17,"Winter.Chinook.Passage.Estimate",405
2005-12-18,"Winter.Chinook.Passage.Estimate",162
2005-12-20,"Winter.Chinook.Passage.Estimate",26918
2006-01-20,"Winter.Chinook.Passage.Estimate",411
2006-01-21,"Winter.Chinook.Passage.Estimate",1718
2006-01-22,"Winter.Chinook.Passage.Estimate",1930
2006-01-23,"Winter.Chinook.Passage.Estimate",2008
2006-01-24,"Winter.Chinook.Passage.Estimate",3397
2006-01-25,"Winter.Chinook.Passage.Estimate",559
2006-01-26,"Winter.Chinook.Passage.Estimate",471
2006-01-27,"Winter.Chinook.Passage.Estimate",0
2006-01-28,"Winter.Chinook.Passage.Estimate",323
2006-01-30,"Winter.Chinook.Passage.Estimate",0
2006-02-01,"Winter.Chinook.Passage.Estimate",248
2006-02-07,"Winter.Chinook.Passage.Estimate",224
2006-02-08,"Winter.Chinook.Passage.Estimate",0
2006-02-09,"Winter.Chinook.Passage.Estimate",840
2006-02-10,"Winter.Chinook.Passage.Estimate",0
